"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","CORN","TOTAL","NOT SPECIFIED","51,000","0.2","50,000","2.5","8,530,000","3.5","170.6","2.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","UNION","159","","","00000000","","CORN","TOTAL","NOT SPECIFIED","56,800","0.3","55,300","3.2","9,899,000","3.8","179","2.2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","CARROLL","019","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,900","0.7","10,600","3.2","1,326,000","8.6","125.1","8"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","COSHOCTON","031","","","00000000","","CORN","TOTAL","NOT SPECIFIED","25,100","1.4","23,300","3.5","3,770,000","5.8","161.8","4.6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","HARRISON","067","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,500","2.1","3,250","4.1","455,000","8.7","140","7.7"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","HOLMES","075","","","00000000","","CORN","TOTAL","NOT SPECIFIED","21,400","1.3","13,700","6.9","2,022,000","7.3","147.6","2.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","JEFFERSON","081","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,400","2.5","2,210","5.2","295,000","8.6","133.5","6.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","TUSCARAWAS","157","","","00000000","","CORN","TOTAL","NOT SPECIFIED","21,900","1.3","15,000","5.7","2,129,000","7.8","141.9","5.3"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","ASHLAND","005","","","00000000","","CORN","TOTAL","NOT SPECIFIED","39,500","0.2","30,000","4.1","4,278,000","5.4","142.6","3.5"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","CRAWFORD","033","","","00000000","","CORN","TOTAL","NOT SPECIFIED","78,500","0.3","77,000","3.1","14,692,000","3.9","190.8","2.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","ERIE","043","","","00000000","","CORN","TOTAL","NOT SPECIFIED","26,500","0.6","26,000","2.9","4,280,000","4.2","164.6","3"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","HURON","077","","","00000000","","CORN","TOTAL","NOT SPECIFIED","54,300","0.3","50,500","3.3","8,297,000","5.6","164.3","4.5"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","LORAIN","093","","","00000000","","CORN","TOTAL","NOT SPECIFIED","20,100","2.1","18,800","3.4","3,113,000","6.9","165.6","6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","OTTAWA","123","","","00000000","","CORN","TOTAL","NOT SPECIFIED","16,800","4.4","16,300","5.3","2,717,000","5.9","166.7","2.6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","RICHLAND","139","","","00000000","","CORN","TOTAL","NOT SPECIFIED","38,000","0.3","32,800","3.6","5,517,000","5.5","168.2","4.1"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","SANDUSKY","143","","","00000000","","CORN","TOTAL","NOT SPECIFIED","67,300","0.3","66,000","2.6","9,999,000","3.6","151.5","2.5"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","SENECA","147","","","00000000","","CORN","TOTAL","NOT SPECIFIED","94,300","0.5","93,500","2.6","15,371,000","4.4","164.4","3.7"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","WYANDOT","175","","","00000000","","CORN","TOTAL","NOT SPECIFIED","74,400","0.3","72,000","3","12,564,000","3.8","174.5","2.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","ASHTABULA","007","","","00000000","","CORN","TOTAL","NOT SPECIFIED","23,100","0.3","20,400","4.3","3,378,000","5.9","165.6","4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","COLUMBIANA","029","","","00000000","","CORN","TOTAL","NOT SPECIFIED","27,000","0.3","22,000","3.7","3,047,000","9","138.5","8.2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","GEAUGA","055","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,900","3","1,700","8.1","268,000","8.9","157.6","3.6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","LAKE","085","","","00000000","","CORN","TOTAL","NOT SPECIFIED","300","14","150","26.6","18,400","26.9","122.7","4.5"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","MAHONING","099","","","00000000","","CORN","TOTAL","NOT SPECIFIED","15,700","0.3","12,000","3.5","1,808,000","4.5","150.7","2.7"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","MEDINA","103","","","00000000","","CORN","TOTAL","NOT SPECIFIED","14,500","0.4","12,600","3.6","1,964,000","4.1","155.9","1.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","PORTAGE","133","","","00000000","","CORN","TOTAL","NOT SPECIFIED","12,600","0.5","10,900","3.7","1,727,000","4.7","158.4","2.8"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","STARK","151","","","00000000","","CORN","TOTAL","NOT SPECIFIED","31,200","0.2","26,500","3.5","3,949,000","4","149","2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","SUMMIT","153","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,600","4.9","1,490","6","185,400","5.8","124.4","0.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","TRUMBULL","155","","","00000000","","CORN","TOTAL","NOT SPECIFIED","20,100","0.4","17,300","4.2","2,908,000","5.1","168.1","2.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","WAYNE","169","","","00000000","","CORN","TOTAL","NOT SPECIFIED","63,700","0.2","42,500","4.9","6,439,000","5.5","151.5","2.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","ALLEN","003","","","00000000","","CORN","TOTAL","NOT SPECIFIED","66,600","0.1","66,000","2.9","11,213,000","3.3","169.9","1.7"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","DEFIANCE","039","","","00000000","","CORN","TOTAL","NOT SPECIFIED","54,800","0.2","50,700","4","6,895,000","4.8","136","2.7"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","FULTON","051","","","00000000","","CORN","TOTAL","NOT SPECIFIED","85,100","0.2","82,200","3.2","13,497,000","3.8","164.2","2.1"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","HANCOCK","063","","","00000000","","CORN","TOTAL","NOT SPECIFIED","90,600","0.2","89,500","2.5","15,322,000","3.3","171.2","2.2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","HENRY","069","","","00000000","","CORN","TOTAL","NOT SPECIFIED","86,700","0.2","85,500","3","13,509,000","4.9","158","3.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","LUCAS","095","","","00000000","","CORN","TOTAL","NOT SPECIFIED","22,600","1.9","20,900","3.8","3,572,000","4.8","170.9","2.8"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","PAULDING","125","","","00000000","","CORN","TOTAL","NOT SPECIFIED","70,600","0.2","60,000","3.6","8,946,000","4.3","149.1","2.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","PUTNAM","137","","","00000000","","CORN","TOTAL","NOT SPECIFIED","82,200","0.1","76,900","2.7","13,050,000","3.9","169.7","2.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","VAN WERT","161","","","00000000","","CORN","TOTAL","NOT SPECIFIED","82,500","0.1","76,500","3.3","12,531,000","3.5","163.8","1.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","WILLIAMS","171","","","00000000","","CORN","TOTAL","NOT SPECIFIED","62,800","0.2","58,800","2.7","8,461,000","3.9","143.9","2.7"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","WOOD","173","","","00000000","","CORN","TOTAL","NOT SPECIFIED","97,900","0.3","95,000","4.6","15,305,000","5.4","161.1","2.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","ADAMS","001","","","00000000","","CORN","TOTAL","NOT SPECIFIED","13,400","0.4","12,500","3.3","2,156,000","4.1","172.5","2.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","BROWN","015","","","00000000","","CORN","TOTAL","NOT SPECIFIED","16,700","0.3","16,200","3.2","2,884,000","4.2","178","2.8"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","GALLIA","053","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,100","1.5","2,860","3.9","462,000","8.4","161.5","7.5"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","HIGHLAND","071","","","00000000","","CORN","TOTAL","NOT SPECIFIED","37,700","0.5","36,000","3.3","6,624,000","3.8","184","2.1"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","JACKSON","079","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,300","0.8","2,900","4","443,000","5.9","152.8","4.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","LAWRENCE","087","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,200","4.1","1,000","6.4","156,800","8.6","156.8","5.8"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","PIKE","131","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,400","0.5","11,200","3.2","1,958,000","5.7","174.8","4.8"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","SCIOTO","145","","","00000000","","CORN","TOTAL","NOT SPECIFIED","8,100","0.7","7,800","2.7","1,229,000","4.8","157.6","3.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","ATHENS","009","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,600","2.4","2,100","6.5","317,000","9.7","151","7.1"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","GUERNSEY","059","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,500","1.7","2,800","4.7","427,000","6.7","152.5","4.8"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","MEIGS","105","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,800","1.4","2,530","7.3","357,000","9.3","141.1","5.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","MONROE","111","","","00000000","","CORN","TOTAL","NOT SPECIFIED","700","7","310","17","37,500","18.5","121","7.2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","MORGAN","115","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,000","1.2","3,200","4.7","508,000","6.9","158.8","5"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","MUSKINGUM","119","","","00000000","","CORN","TOTAL","NOT SPECIFIED","14,900","0.5","13,800","3.4","2,320,000","6.6","168.1","5.6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","PERRY","127","","","00000000","","CORN","TOTAL","NOT SPECIFIED","16,100","0.3","15,100","2.8","2,520,000","4.7","166.9","3.8"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","VINTON","163","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,500","3.7","1,300","4.9","222,000","5.9","170.8","3.3"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","WASHINGTON","167","","","00000000","","CORN","TOTAL","NOT SPECIFIED","8,900","0.8","6,300","4.3","1,004,000","5.9","159.4","4.1"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","BUTLER","017","","","00000000","","CORN","TOTAL","NOT SPECIFIED","25,700","0.3","24,800","3.1","4,147,000","4.2","167.2","2.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","CLINTON","027","","","00000000","","CORN","TOTAL","NOT SPECIFIED","68,600","0.5","67,200","2.9","13,426,000","3.3","199.8","1.5"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","GREENE","057","","","00000000","","CORN","TOTAL","NOT SPECIFIED","60,100","0.2","57,000","3.3","10,653,000","4","186.9","2.2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","HAMILTON","061","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,100","5.4","2,870","6.5","517,000","7.6","180.1","4.5"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","MONTGOMERY","113","","","00000000","","CORN","TOTAL","NOT SPECIFIED","35,600","0.2","35,000","3","5,928,000","3.5","169.4","2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","PREBLE","135","","","00000000","","CORN","TOTAL","NOT SPECIFIED","77,400","0.9","71,900","3.2","14,157,000","3.7","196.9","1.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","WARREN","165","","","00000000","","CORN","TOTAL","NOT SPECIFIED","15,400","0.7","15,300","3.2","2,704,000","3.7","176.7","1.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","AUGLAIZE","011","","","00000000","","CORN","TOTAL","NOT SPECIFIED","77,600","0.1","72,300","2.9","12,493,000","3.9","172.8","2.7"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","CHAMPAIGN","021","","","00000000","","CORN","TOTAL","NOT SPECIFIED","89,000","0.1","87,000","2.9","14,677,000","3.2","168.7","1.2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","CLARK","023","","","00000000","","CORN","TOTAL","NOT SPECIFIED","63,100","0.7","59,000","2.8","10,832,000","4.3","183.6","3.2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","DARKE","037","","","00000000","","CORN","TOTAL","NOT SPECIFIED","137,000","0.8","128,000","3.3","25,058,000","3.6","195.8","1.6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","HARDIN","065","","","00000000","","CORN","TOTAL","NOT SPECIFIED","87,600","0.1","82,000","3.3","13,095,000","3.8","159.7","1.9"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","LOGAN","091","","","00000000","","CORN","TOTAL","NOT SPECIFIED","71,400","0.2","67,300","3.2","11,751,000","3.4","174.6","1.2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","MERCER","107","","","00000000","","CORN","TOTAL","NOT SPECIFIED","110,500","0.1","87,300","4.5","16,168,000","4.8","185.2","1.6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","MIAMI","109","","","00000000","","CORN","TOTAL","NOT SPECIFIED","74,800","0.1","72,000","3.2","13,687,000","3.9","190.1","2.3"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","SHELBY","149","","","00000000","","CORN","TOTAL","NOT SPECIFIED","76,800","0.1","71,000","3.4","13,320,000","3.8","187.6","1.7"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","","99","OTHER COUNTIES","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","17,400","0.9","16,530","2.8","2,978,900","4","180.2","2.8"
"SURVEY","2020","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,550,000","","3,300,000","","564,300,000","","171",""
